Midterm_Percentage,Assignment_Percentage,Practical_Percentage,Actual_Result
41.66666667,88.75,60.75,1
52.5,87.5,40.2,1
21.66666667,56.25,72,1
45,62.5,65,1
52.5,87.5,78.75,1
30.83333333,50,68.25,1
38.33333333,81.25,63.5,1
36.66666667,75,60.5,1
51.66666667,76.25,56.5,1
28.33333333,75,NULL,1
70.83333333,81.25,NULL,1
57.5,68.75,NULL,1
46.66666667,75,NULL,1
47.91666667,75,NULL,1
57.08333333,62.5,NULL,1
13.33333333,56.25,NULL,0
50.66666667,14.5,NULL,1
85,62.5,NULL,1
60.41666667,62.5,NULL,1
41.25,56.25,NULL,1
40.83333333,50,NULL,1
38.33333333,75,NULL,1
48.33333333,68.75,NULL,1
45,68.75,20,1
51.66666667,68.75,40,1
0,0,NULL,0
13.75,62.5,NULL,0
34.16666667,87.5,NULL,1
25,50,NULL,0
75,100,NULL,1
39.16666667,72.5,20,1
22.91666667,62.5,40,1
27.5,62.5,NULL,1
33.33333333,50,NULL,1
33.33333333,56.25,NULL,1
31.25,62.5,NULL,1
48.75,62.5,NULL,1
26.66666667,56.25,NULL,1
43.33333333,58.75,NULL,1
62.08333333,87.5,NULL,1
49.16666667,0,NULL,0
26.25,81.25,NULL,1
57.08333333,62.5,NULL,1
41.25,68.75,NULL,1
30.83333333,62.5,NULL,1
44.16666667,65,NULL,1
41.25,93.75,NULL,1
43.5,39,NULL,0
32.91666667,62.5,NULL,1
48.58333333,75,NULL,1
55.83333333,97.5,40,1
45.83333333,72.5,NULL,1
34.16666667,77.5,NULL,1
46.66666667,81.25,NULL,1
62.91666667,100,NULL,1
31.66666667,68.75,NULL,1
44.16666667,68.75,NULL,1
71.66666667,100,NULL,1
42.5,72.5,NULL,1
35.83333333,62.5,NULL,1
34.58333333,77.5,NULL,1
45,75,40,1
NULL,NULL,NULL,1
NULL,NULL,45,1
NULL,NULL,82.5,1
NULL,NULL,80,1
NULL,NULL,85,1
NULL,NULL,76.25,1
NULL,NULL,82.5,1
NULL,NULL,81.25,1
NULL,NULL,83.75,1
NULL,NULL,65,1
NULL,NULL,55,1
NULL,NULL,86.25,1
NULL,NULL,71.25,1
NULL,NULL,20,1
NULL,NULL,42.5,1
NULL,NULL,86.25,1
NULL,NULL,37.5,1
NULL,NULL,45,0
NULL,NULL,77.5,1
NULL,NULL,85,1
NULL,NULL,82.5,1
NULL,NULL,81.25,1
NULL,NULL,83.75,1
NULL,NULL,68.75,1
NULL,NULL,68.75,1
53.33333333,56.375,58.75,0
71.66666667,107.125,82.5,1
67.25,104.375,85,1
36.08333333,87.75,56.25,1
50,87.5,0,1
53.33333333,85.75,82.5,1
57.25,79.5,61.25,1
61.66666667,103.875,80,1
47.5,87.875,78.75,1
62.08333333,91.75,80,1
66.25,85,46.25,1
